,Data Source,World Development Indicators,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
20,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.34958214,350247234.99743,379567099.6207377,394040667.5951141,410321645.0284445,422916789.3408797,433889767.0858032,450753923.9304889,460442689.71532,478298644.74758506,458404268.55826217,482411179.62888145,578595521.118458,674773569.5548933,751133431.6127316,939972701.8171256,976547187.0637952,1131224879.988959,1475583643.3353732,1748480618.198113,1928719884.3264804,1775842336.5091577,1754450097.81998,1600278605.2561986,1459880132.9134154,1552493197.3698626,2036303360.2198923,2369834946.420149,2616040480.592951,2615587730.035346,3101300779.2305517,3135045586.3077,2240264677.010864,2332018010.604891,1895290638.2992015,2379517975.8151426,2586550594.0947704,2447669100.497196,2804902369.271779,3014665572.208353,2610959139.409627,2812845486.4419565,3205592273.186932,4205691121.7898474,4838551014.485526,5462709054.779889,5844669738.11104,6755823932.798567,8350710389.312307,8348156389.076937,9209288383.08711,10395757480.230143,10726305449.611792,11582556068.334547
21,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893910.130981,4817580181.8998995,5081413344.749446,5319458348.62372,5386054612.64409,5906636553.540897,6439687605.766164,7253575403.215377,7483685482.827688,8471006091.866737,8992721806.562868,8751842837.090685,6288245865.828601,8067027103.890566,12459282560.99555,19395903915.61418,10083163547.481367,9632469658.528645,13299358553.268787,15585961409.869724,18114645161.29032,19762945710.30257,18087000000.0,17155798869.278849,19670160943.91849,21613230769.23077,21160234383.67854,23781404932.291325,25638749373.050816,26825240347.40857,30128776343.576687,30957444767.422195,31708863729.973347,33166530060.041164,33768661426.806934,37939752959.866516,40666015641.05636,42318798537.71445,44091754148.18216,45694072379.36772,47124925462.134766,46987842846.553,47571130071.39126,51913661485.31952,56560744012.23034,60277560975.60976,61901116736.15247,68415421372.719376,79554350677.74377,89356650349.4064,100360101353.93945,111905616039.48631,116033894877.8546,129856605444.7896
22,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,20039628407.847195,20056237268.711884,19804095242.980907,16959385327.102755,17411160327.857323,17562123539.82681,20261212353.54767,28429026655.96973,23002459531.891075,21746813404.029892,20726300434.703194,10943548723.760754,10371900499.457384,10831999516.806074,9704877673.488235,13069094969.294714,8890316777.693455,10053469055.277756,13060786998.114023,13228374466.263525,12903546765.0859,13868600709.932415,15979194511.314396,20668176833.843136,25283228366.452923,28895083539.800518,33209188738.536526,42113656147.225525,51824892678.18413,48568714011.51631,47726575741.166916,53542780661.21578,51303659417.90947,53009839847.99131
23,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698345.805645,3467819352.7840357,3645744805.6848855,3735106510.8723764,3905585155.0076017,3651861912.27732,3052393636.4317985,3392021222.52906,3702393658.688427,3863564047.18578,4229787378.8745565,4616223477.212885,4751063992.468252,5200266050.402555,5567553552.340536,5849468115.185053,6101861655.742145,6349202600.38155,6183941092.316003,6621186419.416102,9063147900.879108,8976446419.94569,9632411109.083155,11075116593.950285,13150516509.048725,15969151305.83622,18505250857.347614,21730590263.36041,25711147928.720703,22938464723.00051,25713547868.835384,29044378668.460304,30362317939.172226,32788114767.178375
24,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169802257.755072,190096176.55143452,212252822.19384,237742768.50811177,266664053.74930474,300392162.4799284,340000006.35783017,390196085.7278443,444901969.10375816,528137296.1504132,538423199.465042,573400000.0,590899968.0,670899968.0,632400000.0,596200000.0,642099968.0,713000000.0,832400000.0,1139800064.0,1335299968.0,1426499968.0,1578300032.0,1732800000.0,2041100032.0,2320699904.0,2472499968.0,2713999872.0,2817900032.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,4961119000.0,5353524000.0,6019972000.0,6327552000.0,6516651000.0,6957996000.0,6949317000.0,7094413000.0,7706222000.0,7965588000.0,8318996000.0,8246650000.0,7820420000.0,7888087000.0,7872584000.0,8149004000.0,
25,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465.4394255,1866572992.6520157,2786045391.9110894,3671816537.7593513,4116699576.1758304,4685729742.91939,5505984455.958549,5748990554.799455,6651226179.018288,8370020196.191575,10022840634.920635,10948051122.273796,12400102623.30832,15280615815.255423,18543289394.847214,17082889409.759216,16775919279.474504,18252896438.979317,16853238733.412167,17827710270.857376
26,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958.11591,17813389815.003983,17022180272.211044,16280372553.051813,14931599418.422628,13972637603.21022,14756861538.461538,14128412417.193037,15222014828.30385,12138485328.626728,12736856485.10679,12354820143.884892,14594925392.969078,17825436034.536636,23141587717.763344,30210091836.829445,36961918858.738525,45275711995.82495,60763483146.06741,49208656976.03895,55220932613.957985,59734593904.64016,63615445566.84828,71709513654.33932
27,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072504.984085612,29965035.3920036,31857562.999918617,33750090.60783363,36194610.80139622,40069931.53968647,44405596.034382045,47379308.786743656,44910180.794811785,47305390.437201746,53233534.3021169,59207317.589614145,66062499.01559197,78343558.5113933,103216371.96643752,118066302.07503211,96905828.76756397,117650000.0,136300000.0,151800000.0,194750000.0,192900000.0,179250000.0,189000000.0,210900000.0,209150000.0,227850000.0,276550016.0,314900000.0,363150016.0,413049984.0,444720726.464896,518143678.48592,559759653.31007,580760211.263175,620031771.857715,641271333.36313,654198121.10579,688872472.724825,732607993.768985,831750000.0,871840755.396765,932676403.181055,990350000.0,1057850000.0,1114200000.0,1217450000.0,1290500000.0,1369500000.0,1338500000.0,1398500000.0,1489000000.0,1572500000.0,1604500000.0
28,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08015439,89249986.70071562,94149985.97055882,96366652.30691648,107566650.63798666,114339048.96273592,134173373.78280236,155102984.62157604,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5473536000.0,
29,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9859513,612518907.1525651,669722540.4300406,721142960.4417436,812543073.8096629,908874535.9386027,994044552.9233418,1084059817.9535606,908874535.9386027,964615702.5616415,1017171717.1717172,1095454545.4545455,1257615644.9793155,1263018490.7546227,2100249875.0624688,2404697651.1744127,2732083958.0209894,3227436281.8590703,3758220889.5552225,4421343606.181353,4537487842.817333,5891606677.691925,5594118400.641313,5422656261.895696,6169481549.384421,5377277406.716375,3959379487.606402,4347956298.513273,4597615562.66594,4715978868.216133,4867582620.207083,5343259388.763367,5643864407.822546,5734703452.221294,5981218996.996009,6715164550.844315,7396952081.046622,7925733785.537829,8497499333.046589,8285061618.158389,8397858184.793824,8141513292.124016,7905485216.178522,8082396525.994331,8773451738.911291,9549196255.888916,11451845341.244062,13120183156.714897,16674324634.237322,17339992165.242165,19649631308.164806,23948541156.119358,27035110130.24602,30601157742.402313
